id,RA,Dec,Target,Qual,z,z_err,N_lines,features,flag
V02Q2_8,10.5026,-9.1256,T,3,0.1813,0,1,e1a0,0
V02Q2_9,10.4998,-9.2005,T,2,0.2936,0,13,e9a4,0
V02Q2_26,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q2_26,10.4928,-9.1897,T,3,0.054,0.0001,3,e0a3,0
V02Q2_6,10.4866,-9.154,T,2,0.6102,0,10,e5a5,0
V02Q2_7,10.4824,-9.1162,T,3,1.141,0.0003,6,e4a2,0
V02Q2_28,10.478,-9.1113,A,2,0.3862,0,7,e3a4,0
V02Q2_28,10.48,-9.1113,T,3,0.0538,0,3,e0a3,0
V02Q2_29,10.4765,-9.1075,T,2,0.4436,0,14,e10a4,0
V02Q2_5,10.4741,-9.1396,T,2,0.5779,0,4,e2a2,0
V02Q2_31,10.464,-9.1929,T,2,0.3721,0,13,e9a4,0
V02Q2_21,10.4593,-9.1397,T,2,0.3055,0,17,e12a5,0
V02Q2_11,10.4546,-9.179,T,2,0.3204,0,8,e2a6,0
V02Q2_20,10.4513,-9.0998,T,2,0.2322,0,11,e9a2,0
V02Q2_19,10.4486,-9.1262,T,2,0.5497,0,7,e2a5,0
V02Q2_18,10.445,-9.1947,T,2,0.3523,0,14,e10a4,0
V02Q2_17,10.4394,-9.1419,T,0,0,0,0,e0a0,0
V02Q2_17,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q2_24,10.4353,-9.148,T,2,0.3825,0,9,e5a4,0
V02Q2_32,10.4316,-9.197,T,2,0.4581,0,7,e1a6,0
V02Q2_12,10.4291,-9.1897,T,2,0.515,0.0004,7,e4a3,0
V02Q2_36,10.4228,-9.2131,T,3,0.0382,0,6,e6a0,0
V02Q2_36,10.4231,-9.2131,A,3,0.038,0.0004,6,e6a0,0
V02Q2_15,10.4193,-9.1254,T,3,0.0538,0,2,e0a2,0
V02Q2_2,10.4157,-9.0993,T,2,0.4704,0,9,e7a2,0
V02Q2_13,10.4123,-9.0984,T,2,0.4696,0,5,e5a0,0
V02Q2_23,10.408,-9.2048,T,2,0.0616,0,2,e0a2,0
V02Q2_33,10.4044,-9.1444,T,2,0.47,0.0001,10,e8a2,0
V02Q2_27,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q2_27,10.3961,-9.0933,T,2,0.0592,0,3,e0a3,0
V02Q2_1,10.3922,-9.1775,T,2,0.3843,0,14,e9a5,0
V02Q2_34,10.3888,-9.2059,T,2,0.2906,0,9,e7a2,0
V02Q3_19,10.4928,-9.3439,T,2,0.3531,0,12,e9a3,0
V02Q3_6,10.4894,-9.3187,T,3,0.0615,0,5,e1a4,0
V02Q3_5,10.4858,-9.2692,A,3,0.0954,0,3,e3a0,a
V02Q3_5,10.4858,-9.2692,T,0,0,0,0,e0a0,0
V02Q3_4,10.4812,-9.3659,T,2,0.0767,0,9,e8a1,0
V02Q3_31,10.4781,-9.3077,T,2,0.3031,0,11,e9a2,0
V02Q3_30,10.4752,-9.3024,T,2,0.0478,0,10,e10a0,0
V02Q3_33,10.4727,-9.2919,T,2,0.0561,0,3,e0a3,0
V02Q3_32,10.4689,-9.3137,T,3,0.0516,0,2,e0a2,0
V02Q3_32,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q3_17,10.4624,-9.3234,T,2,0.3318,0,12,e8a4,0
V02Q3_36,10.4596,-9.3467,T,3,0.5431,0,6,e3a3,0
V02Q3_15,10.456,-9.2693,T,2,0.2984,0,10,e10a0,0
V02Q3_14,10.4526,-9.3013,T,2,0.5824,0,5,e3a2,0
V02Q3_27,10.4467,-9.3767,T,0,0,0,0,e0a0,0
V02Q3_21,10.444,-9.3736,T,2,0.3037,0,13,e8a5,0
V02Q3_22,10.4405,-9.3051,T,2,0.4344,0,16,e12a4,0
V02Q3_26,10.438,-9.3613,T,2,0.304,0.0003,12,e7a5,0
V02Q3_12,10.4341,-9.2602,T,2,0.1306,0,5,e4a1,0
V02Q3_25,10.4312,-9.2971,T,2,0.3016,0,10,e8a2,0
V02Q3_1,10.4267,-9.3206,T,1,0,0,0,e0a0,0
V02Q3_1,10.4311,-9.3206,A,0,0,0,0,e0a0,0
V02Q3_3,10.4203,-9.3763,T,1,0,0,0,e0a0,0
V02Q3_35,10.4177,-9.3542,T,3,0.0592,0,4,e1a3,0
V02Q3_7,10.4128,-9.2975,A,2,0.188,0,8,e7a1,a
V02Q3_7,10.4144,-9.2975,T,0,0,0,0,e0a0,0
V02Q3_8,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q3_8,10.406,-9.3595,T,2,0.2952,0,9,e6a3,0
V02Q3_11,10.4015,-9.2952,T,2,0.48,0.0002,13,e8a5,0
V02Q3_11,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q3_10,10.3953,-9.3356,T,0,0,0,0,e0a0,0
V02Q3_24,10.3918,-9.2985,T,2,0.4746,0,6,e3a3,0
V02Q3_23,10.3892,-9.3581,T,2,0.4267,0,8,e5a3,0
V02Q4_4,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q4_4,10.649,-9.3362,A,2,0.6364,0,3,e1a2,a
V02Q4_4,10.6503,-9.3362,A,0,0,0,0,e0a0,a
V02Q4_4,10.6515,-9.3362,T,2,0.6357,0,4,e4a0,0
V02Q4_18,10.647,-9.3404,T,2,0.2091,0,10,e8a2,0
V02Q4_13,10.6427,-9.2658,T,2,0.0771,0,5,e3a2,0
V02Q4_15,10.6359,-9.3384,T,1,0,0,0,e0a0,0
V02Q4_15,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q4_15,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q4_16,10.6248,-9.3674,A,2,2.154,0.0002,3,e3a0,0
V02Q4_16,10.6267,-9.3674,T,2,0.2524,0,9,e1a8,0
V02Q4_3,10.6217,-9.3657,T,2,0.317,0.0001,15,e10a5,0
V02Q4_5,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q4_5,10.6022,-9.3296,T,3,0.0538,0,2,e0a2,0
V02Q4_2,10.5916,-9.3655,A,2,0.1124,0,7,e7a0,0
V02Q4_2,10.5931,-9.3655,T,2,0.1125,0,6,e6a0,0
V02Q4_12,-999.9,-999.9,A,-9,0,0,0,e0a0,b
V02Q4_12,10.5836,-9.3229,T,2,0.3154,0,17,e12a5,0
V02Q4_8,10.5802,-9.3326,T,2,0.316,0,13,e13a0,0
V02Q4_17,10.5739,-9.3005,T,2,0.5889,0,3,e3a0,0
V02Q4_7,10.5427,-9.7141,T,2,0.5824,0,5,e1a4,0
V02Q4_1,10.5568,-9.3518,T,2,0.4585,0,14,e9a5,0
V02Q4_10,10.5495,-9.3678,T,2,0.0528,0,3,e0a3,0
V02Q4_11,10.5427,-9.3083,T,2,0.3537,0,14,e10a4,0
V02Q4_14,10.5394,-9.3423,A,2,0.5874,0,10,e9a1,0
V02Q4_14,10.5403,-9.3423,T,0,0,0,0,e0a0,0
V03Q1_19,10.9236,-9.2085,T,2,0.1278,0,12,e11a1,0
V03Q1_5,10.9196,-9.2075,T,2,0.1876,0,9,e8a1,0
V03Q1_9,10.9163,-9.1808,T,2,0.3022,0,11,e9a2,0
